ID;Date;global_id;AdmArea;District;Longitude_WGS84;Latitude_WGS84;Location;Results;ID_en;Date_en;AdmArea_en;District_en;Longitude_WGS84_en;Latitude_WGS84_en;Location_en;Results_en;geodata_center;geoarea
Код;Дата выезда;global_id;Административный округ;Район;Долгота в WGS-84;Широта в WGS-84;Описание местоположения контрольной точки;Результаты выезда;ID_en;Date_en;AdmArea_en;District_en;Longitude_WGS84_en;Latitude_WGS84_en;Location_en;Results_en;geodata_center;geoarea
134;18.03.2016;272399507;Южный административный округ;район Бирюлёво Западное;37.641971;55.585652;Востряковский проезд, дом 3, корпус 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
135;18.03.2016;272399508;Южный административный округ;район Чертаново Южное;37.624858;55.601666;Дорожная улица, дом 7, корпус 3;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
136;01.03.2016;272399509;Новомосковский административный округ;поселение Сосенское;37.453640;55.589716;Николо-Хованская улица, дом 32;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
138;01.03.2016;272399511;Новомосковский административный округ;поселение Рязановское;37.544567;55.474139;посёлок Знамя Октября, дом 13;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
139;03.03.2016;272399512;Западный административный округ;район Раменки;37.515736;55.702599;Ломоносовский проспект, дом 29, корпус 2;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
140;22.03.2016;272399513;Юго-Восточный административный округ;район Печатники;37.713351;55.712431;Волгоградский проспект, дом 42, корпус 36;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
141;22.03.2016;272399514;Юго-Восточный административный округ;район Капотня;37.798852;55.640660;2-й квартал Капотня, дом 12;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
142;23.03.2016;272399515;Юго-Восточный административный округ;район Некрасовка;37.936977;55.705397;улица Липчанского, дом 5, корпус 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
143;22.03.2016;272399516;Юго-Восточный административный округ;район Печатники;37.728559;55.690567;Шоссейная улица, дом 3;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
144;22.03.2016;272399517;Западный административный округ;район Очаково-Матвеевское;37.455730;55.693334;Очаковское шоссе, дом 11, корпус 1;По отдельным веществам в атмосферном воздухе выявлены повышенные среднесуточные концентрации загрязняющих веществ.;;;;;;;;;;
145;22.03.2016;272399518;Центральный административный округ;район Замоскворечье;37.624364;55.723450;Люсиновская улица, дом 37;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
